slug	title	difficulty	tags
0dte-option	0DTE Option	Medium	Finance
10-die-sum	10 Die Sum	Medium	Probability
100-lights	100 Lights	Medium	Brainteasers
128-showoff	12-8 Showoff		
18-sides	18 Sides	Easy	Brainteasers
2-below-i	2 Below I	Medium	Probability
2d-paths-i	2D Paths I		
2d-paths-iii	2D Paths III	Medium	Probability
3-heads-3-tails-i	3 Heads 3 Tails I		
3-heads-3-tails-ii	3 Heads 3 Tails II		
4-before-2	4 Before 2	Easy	Probability
4-die-sum	4 Die Sum	Easy	Probability
60-heads	60 Heads	Easy	Probability
6040-split	60-40 Split	Easy	Probability
77-multiple-i	77 Multiple I	Easy	Brainteasers
9-for-1	9 For 1		
9-sum-ii	9 Sum II	Medium	Probability
abc-sum	ABC Sum	Medium	Brainteasers
absolute-difference	Absolute Difference	Easy	Probability
adult-concert	Adult Concert	Medium	Brainteasers
alternating-sum	Alternating Sum	Easy	Brainteasers
american-call-arbitrage	American Call Arbitrage	Easy	Finance
ancient-births	Ancient Births	Medium	Brainteasers
ant-in-a-hurry	Ant in a Hurry	Medium	Brainteasers
ants-on-a-triangle	Ants on a Triangle	Easy	Probability
arbitrage-detective-ii	Arbitrage Detective II	Easy	Finance
baby-boy	Baby Boy		
bakugan-and-beyblade	Bakugan and Beyblade		
balanced-beans-ii	Balanced Beans II	Hard	Brainteasers
balanced-beans-iv	Balanced Beans IV	Hard	Brainteasers
basic-dice-game-i	Basic Dice Game I	Easy	Probability
basic-die-game-vi	Basic Die Game VI	Medium	Probability
basic-gamma	Basic Gamma	Easy	Finance
basketball-practice-ii	Basketball Practice II	Medium	Probability
bear-and-bull-market	Bear and Bull Market	Easy	Brainteasers
beer-barrel-i	Beer Barrel I	Medium	Brainteasers
beta-difference	Beta Difference	Easy	Probability
better-in-red-i	Better in Red I		
better-in-red-iii	Better in Red III		
better-in-red-v	Better in Red V	Medium	Probability
big-smalls	Big Smalls	Medium	Probability
binary-dot	Binary Dot		
birthday-twins-ii	Birthday Twins II		
bivariate-covariance	Bivariate Covariance	Medium	Probability
black-or-yellow	Black or Yellow	Easy	Brainteasers
bond-practice-i	Bond Practice I	Easy	Finance
bowl-of-cherries-i	Bowl of Cherries I	Medium	Probability
bread-slicer-i	Bread Slicer I		
bridge-crossing	Bridge Crossing	Easy	Brainteasers
brownian-bridge	Brownian Bridge	Medium	Probability
butterfly-payoff	Butterfly Payoff	Easy	Finance
car-crashes	Car Crashes		
car-line	Car Line	Medium	Brainteasers
car-question-i	Car Question	Hard	Probability
careful-side-choice	Careful Side Choice	Medium	Probability
cat-dog-line	Cat Dog Line	Medium	Brainteasers
cats-and-dogs	Cats and Dogs I		
cheese-lover-ii	Cheese Lover II	Easy	Probability
chess-tournament-i	Chess Tournament I	Medium	Probability
chess-tournament-iii	Chess Tournament III	Medium	Probability
choose-your-profit	Choose Your Profit		
circular-charlie	Circular Charlie	Easy	Probability
circular-hop	Circular Hop	Medium	Probability
circular-slice-ii	Circular Slice II		
close-dice-i	Close Dice I	Medium	Probability
close-dice-ii	Close Dice II	Hard	Probability
coefficient-sum	Coefficient Sum	Easy	Brainteasers
coefficient-swap	Coefficient Swap	Medium	Statistics
coin-on-chess-board	Coin on Chess Board	Easy	Probability
coin-toss-game-i	Coin Toss Game I	Easy	Probability
collecting-toys-i	Collecting Toys I	Medium	Probability
collecting-toys-ii	Collecting Toys II	Hard	Probability
colorful-cube	Colorful Cube		
colorful-line	Colorful Line	Easy	Probability
colorful-socks-i	Colorful Socks I	Easy	Probability
coloring-components-iii	Coloring Components III	Hard	Probability
colosseum-fight	Colosseum Fight I	Hard	Probability
combinatorial-electrician	Combinatorial Electrician	Medium	Probability
company-purchase	Company Purchase I	Easy	Finance
comparing-flips-ii	Comparing Flips II	Medium	Probability
compound-game	Compound Game	Easy	Probability
compound-interest-i	Compound Interest I	Easy	Brainteasers
conditional-expectation-i	Conditional Expectation I		
cone-combo	Cone Combo		
confident-double-heads	Confident Double Heads		
