1	vLdfKriwhLUMSeLEHKAt	Non-empty Intersection	probability	7	JaneStreet|JumpTrading	FREE
2	nfD5Mq9YdCoUhyePXGXb	Standing Table I	probability	7	AkunaCapital|Citadel|FiveRings|JaneStreet	FREE
3	ynmCNn6SCa6JVawYqE1m	Game Of Chords	brainteasers	5	Citadel	FREE
4	7cVbcRx4j4RbuF50absC	Unequal Neighbors	brainteasers	10	SusquehannaInternationalGroup	FREE
5	etfoMVgVDRsYWbX5zr9Y	Find The Units Digit	brainteasers	8	Citadel	FREE
6	LEz6IssOj9ucRuFEhWTp	Ship Destroyer	probability	4	Citadel	FREE
7	0RMlz7xCnMaOFyVAuWnz	Moving The Piece I	brainteasers	7	Citadel|Optiver	FREE
8	4BK31wmvCMk6mmkqeJgr	Even Marbles Everywhere	probability	6	Citadel|TwoSigma	FREE
9	YEnNX7eZV5DaXNmSPz4P	Hard Grid Arrangement	combinatorics	8	AkunaCapital	FREE
10	VRbixpKrhiSOLGNJXJAX	All Odds Before Even	probability	3	Citadel|IMCTrading|SusquehannaInternationalGroup	FREE
11	MLTiU6nMqczf3E7x9b7G	Standing Table II	probability	8	Citadel|JaneStreet	FREE
12	kZoqS05qoc0HojGf8hIt	10 Consecutive Heads	probability	5	Citadel|IMCTrading|JaneStreet|SusquehannaInternationalGroup|TwoSigma	FREE
13	rIt7Q1MHbdLNpYq7XWof	Chords Intersection I	probability	5	FiveRings|HudsonRiverTrading|JumpTrading	FREE
14	aHfLAix1Y8MakxncRe28	1 Leftward Jump	probability	6	JaneStreet	FREE
15	o47TcFdyo7lXGOQ6haQt	Marble Swap II	probability	4	Citadel	FREE
16	oEhBkc828kHy9h0glUG8	Scary Permutation	combinatorics	8	Citadel	FREE
17	vyBOIEvY5nmpJUwxqfRF	Grid Frog I	combinatorics	8	Citadel	FREE
18	jWzbKaVmrVjeX5ynIeM4	At Least Six I	probability	4	Citadel	FREE
19	6CtZ2xP3S2xqnChrtu8O	Game Of Placing Knights	brainteasers	5	Graviton|SusquehannaInternationalGroup	FREE
20	qb5p2f7OejdhswMqyk2r	Same Arc I	probability	8	Citadel	FREE
21	aemGJfNz4FhaAY9oCETM	Increasing Dice Rolls III	probability	1		FREE
22	ExynrsbJIdqrJeUpG10E	Fill In The Blanks	probability	4	DRW	FREE
23	hVvQJF4xziXTFC9Zx0Vd	Exponent Perfect Square	brainteasers	3	Graviton	FREE
24	HxEr4QbtQKuih65DRQmA	Odd Heads II	probability	4	AkunaCapital|Citadel|JaneStreet	FREE
25	YK6Lt9yYGlBlo0FjIN1y	Dice Rolls Product	probability	10		FREE
26	JbNIftTgNc5esaoW0yXL	Jumping Frog V	combinatorics	4	DRW|FiveRings|Optiver	FREE
27	2XcBo9tU50BvdNeSLaum	Dot Product	probability	5	Citadel	FREE
28	fcBjWTOh8G7XWqk6hnPF	Marble Swap I	probability	6	HudsonRiverTrading	FREE
29	uMrsZFmuMpZiLY6Kay3M	Monster Escape I	probability	7	HudsonRiverTrading	FREE
30	QKKFg6JdOUP701x05Drm	Chords Forming Quadrilateral	probability	3		FREE
31	o4qVwvMnII8PdAC6RLuv	Monster Escape II	probability	5	Optiver	FREE
32	DZt5ssEtl9xylFhqk1R0	Matrix Attack III	probability	9	HudsonRiverTrading	FREE
33	KUF1oXX5y4ulgloRcs8c	Bulbs In A Grid	probability	5	JaneStreet	FREE
34	AixrWODjq1By7lcySbre	Chess Tournament III	probability	5	Citadel	FREE
35	mv8rQteiWf1RP7FUrsV0	Count Paths II	combinatorics	4	Citadel	FREE
36	sn53QramErrKcaN9nGem	Five Light Bulbs	probability	4	JaneStreet	FREE
37	edvspNN4ck9iRbEM31FJ	Letter-envelope Pairing	probability	8	JaneStreet	FREE
38	AYNN1PcYgMs55tgUulO4	Frog Return	probability	4	IMCTrading	FREE
39	gMPfjR3OkoHLA13Oqn2L	Direction Change I	probability	5	Citadel	FREE
40	9o5CSpeSfjSHP6Gz9lXm	3 Dice Minimum	probability	7	JaneStreet	FREE
41	escwebu4m7EXrrNg7f8U	Game On Divisors III	brainteasers	5	SusquehannaInternationalGroup	FREE
42	qJeDfIasw5TvL30cMut4	Jumping Frog IV	combinatorics	4	Optiver	FREE
43	TEgMMpbVu74PugKzBxci	Dice Game III	probability	6	Citadel	FREE
44	hnwrduyZF32Tj9KciR57	105 Pebbles	brainteasers	8	JaneStreet	FREE
45	z4WOf7OAs1gwEZDxmcL1	Missing Pairwise Product	brainteasers	3	SusquehannaInternationalGroup	FREE
46	pnb5ahpuG7yp1ZTeyaz3	Constrained Subsets II	combinatorics	6	JaneStreet	FREE
47	oBEV7DTEfCcAAJvqmRim	Fifth Card	brainteasers	10		FREE
48	go2O0Tb4MGhBlbkEcsXZ	Expected Area	probability	1		FREE
49	NpvwCzfvQStXmKQ84ItI	Difficult Die Constraints	Probability	8		FREE
50	HjnEoCTRyFCj3jZMxuF7	Game Of Discarding Cards	probability	3	JaneStreet	FREE
51	ACCZZsJnsV0zpa8JFgWg	Normal Inequality IV	probability	3	AkunaCapital|FiveRings|HudsonRiverTrading	FREE
52	vhaHnfbQ0LbgDa82zOCl	Ants On A Circle I	probability	4	Citadel	FREE
53	fsAyc91BFAgUfrrxFNUq	Ants On A Circle II	probability	10	Citadel	FREE
54	pGtV7PU5ZREIu0DIWUgU	Ants On A Circle III	probability	10		FREE
55	A8wk94JnqXADdeUzgxmW	Game Of Evaluation	brainteasers	6		FREE
56	WwInzW03EaILF5FJU0Sn	Ant On A Cube I	probability	5	AkunaCapital	FREE
57	y8KWlZw34p0fbBQjDGDp	Dice Game VII	probability	6	DRW|HudsonRiverTrading|Optiver	FREE
58	tuXWAEze3geTBmp3EWbk	Duck Escape	brainteasers	5		FREE
59	PQMFKOCpwRQVGb85Ihvn	Count Regions I	combinatorics	5	JaneStreet	FREE
60	Bj2IfH9hxnWyvNfXvYT0	Count Regions III	combinatorics	10	JaneStreet	FREE
61	2judus9GWAbol63q0qbt	Square Intersection I	probability	2		PAID
62	N0VRzcbO6ckub8UUbSMc	Couple I	probability	5		PAID
63	RzvpFpRpHDK0vbr1wZpL	Even Ratio	probability	10		PAID
64	e10EKLv4zfSwoUwiroNy	2 Eggs	brainteasers	6	AkunaCapital|Optiver	PAID
65	JOKO6kiw9eJePnlSG2ad	Heads Run I	probability	5		PAID
66	7YvCWVe7HYyM4eUqnU4P	Smallest Set	brainteasers	9		PAID
67	L4KkUVEjxdU0S04VjyNn	Variable Game	probability	4		PAID
68	H8MUvPrkpSA1yNYQxlUA	Chess Tournament II	probability	6	FiveRings	PAID
69	8e8NFjfHsriFpSYOgoUQ	Game Of Smaller Number	probability	5	JaneStreet	PAID
70	wbhbbI3temyZMonOIX1o	Missing Sequence	combinatorics	4		PAID
71	Tk4wIHHMk0l5iJsZFyEs	Passing The Coin II	probability	3		PAID
72	kHUQABnxuqe5DTXvvXa4	Remove The Subtree	probability	7	Graviton	PAID
73	le7ZoR3yZMVoHVJJKRhg	Interesting Summation I	brainteasers	7		PAID
74	qx4XM1ic1heg4VQf7cSz	Interesting Summation II	brainteasers	6		PAID
75	FYpKBF37JPApiCNfLDnd	Pair Partition I	combinatorics	9		PAID
76	EpmShdGV5skxkMdWcMXn	Last One Off	probability	7		PAID
77	iBzs0KTSTxVu1DaOy6Uo	Strictly Within	probability	7		PAID
78	6m6SSe4UCrrIfab77csE	Get King And Ace	probability	6		PAID
79	RWHO6SXfh53UiopKVpbD	Max Equals Min	probability	3		PAID
80	WnxSywonwNhZMxvA7eNB	Uniform Sum Probability	probability	7		PAID
81	Sn9ruZToLMMujjmhRGSD	Stop Or Continue	probability	3	JaneStreet|JumpTrading|SusquehannaInternationalGroup	PAID
82	tJaubrRSuv5U9xo5Dnit	Greedy Pirates I	brainteasers	3	SusquehannaInternationalGroup	PAID
83	APoCC6TAjQFhHp83wjGE	Coin Toss Game V	probability	6	Graviton	PAID
84	9Pg61Q7PiqtSNYYd0FyP	Expected Ones In Binary	probability	9		PAID
85	DqBIBxb3djI6lQDIoxPA	Points On The Same Face	probability	5		PAID
86	yjPx2OKrqMMIG5HMuIx4	Product Of Cards	brainteasers	8	JaneStreet	PAID
87	GrWGdeaLqBLylu0FA4OB	Gold Auction	probability	5	SusquehannaInternationalGroup	PAID
88	k4gS3P9TjihCPVDcwFUC	Cutting Cube	brainteasers	4		PAID
89	YxY2mEYYY2PXwgrReGdP	Three Pegs	brainteasers	9		PAID
90	MeIa8FaXbzUtLfbEZ8zO	Chocolate Problem	probability	7		PAID
91	uIV5Dh2xzmEVAwHT4efH	Fixed Points I	probability	3	Citadel	PAID
92	eDkxol7Y3ZAiyFmepVii	Reaching 50	brainteasers	4	SusquehannaInternationalGroup	PAID
93	1VbTiCDb2c2LTjpf7u7s	Game On Divisors I	brainteasers	8	JaneStreet	PAID
94	pG9qMJk9eT7WUZ2J95Wb	At Least Six II	probability	8	Citadel|JumpTrading	PAID
95	FOMprcljuB57dxAxNOxv	Painted Cube III	probability	4		PAID
96	T8SZXAKqC5UHHL2hn6mr	Sufficient Sum I	probability	9	AkunaCapital|IMCTrading	PAID
97	Q7RVc7RQ5r9xvvwW7gPe	Interesting Summation III	brainteasers	7		PAID
98	RzRQLS1IdoALGK4xrviu	Random Pairing	probability	4		PAID
99	apaIkVbTKyxL3QhcaFNl	Odd Heads I	probability	2	AkunaCapital	PAID
100	skdZmSe2Qv3NgAkHlRKI	Tetrahedral Die II	probability	8		PAID
101	cE4m8g63hZsCZV0fYL6q	Greedy Pirates II	brainteasers	10	SusquehannaInternationalGroup	PAID
102	rx9Vsy4WzQiXWfTJFBtK	Horse Racing	brainteasers	6	IMCTrading|Optiver	PAID
103	sUKsx9of9cSOv2NIuAZ0	3 Heads 3 Tails I	probability	5	SusquehannaInternationalGroup	PAID
104	i0KWwcl3Y2fLxge5GnMt	Going In Circles	probability	6		PAID
105	8aD7O7Ekx6JdXmYh4l05	Even Majority	probability	4		PAID
106	vpMaaZUz81NMGgsENM9r	Candy Distribution	brainteasers	6	SusquehannaInternationalGroup	PAID
107	XgFXLUwBZpBPfJFTLvIs	Roll Till Even	probability	1	IMCTrading	PAID
