e 4, 12, 28, 60
e 343, 512, 729, 1000
e 15625, 3125, 625, 125
e 2, 16, 128, 1024
e 14, 98, 686, 4802
e 24576, 3072, 384, 48
e 14, 52, 203, 806
e 657, 630, 604, 579
e 406, 339, 272, 205
e 3840, 960, 240, 60
e 47, 49, 51, 53
e 664, 709, 755, 802
e 361, 400, 441, 484
e 554, 641, 729, 818
e 313, 262, 212, 163
e 46, 53, 60, 67
e 15, 84, 430, 2161
e 491, 397, 303, 209
e 1065, 972, 879, 786
e 7, 32, 68, 117
e 12, 68, 348, 1748
e 1024, 946, 869, 793
e 196, 225, 256, 289
e 5, 10, 30, 120
e 951, 854, 758, 663
e 10, 20, 40, 80
e 121, 144, 169, 196
e 12, 34, 99, 293
e 841, 780, 720, 661
e 769, 741, 714, 688
e 35, 42, 49, 56
e 16, 19, 22, 25
e 44, 48, 52, 56
e 171, 225, 280, 336
e 478, 447, 416, 385
e 15, 58, 230, 918
e 6, 22, 86, 342
e 8, 40, 200, 1000
e 894, 967, 1041, 1116
e 16, 128, 1024, 8192
e 144, 169, 196, 225
e 619, 584, 550, 517
e 9, 16, 25, 36
e 1027, 937, 848, 760
e 16, 57, 221, 877
e 744, 675, 606, 537
e 7, 5, 0, -11
e 22, 44, 88, 176
e 779, 685, 592, 500
e 5376, 1344, 336, 84
e 260, 341, 423, 506
e 30, 210, 1470, 10290
e 20, 53, 151, 444
e 743, 837, 932, 1028
e 5, 19, 47, 103
e 1114, 1049, 984, 919
e 654, 587, 521, 456
e 16, 64, 256, 1024
e 14406, 2058, 294, 42
e 256, 289, 324, 361
e 22, 24, 26, 28
e 94208, 11776, 1472, 184
e 4608, 1152, 288, 72
e 23, 69, 207, 621
e 7680, 1920, 480, 120
e 3888, 648, 108, 18
e 81920, 10240, 1280, 160
e 2, 17, 77, 317
e 38, 46, 54, 62
e 11, 33, 132, 660
e 10440, 1740, 348, 87
e 823, 796, 769, 742
e 11760, 1680, 280, 56
e 586, 532, 479, 427
e 728, 676, 624, 572
e 856, 803, 751, 700
e 64, 125, 216, 343
e 330, 307, 285, 264
e 485, 419, 353, 287
e 10, 19, 35, 60
e 881, 804, 728, 653
e 14, 21, 28, 35
e 324, 361, 400, 441
e 738, 647, 557, 468
e 279, 301, 324, 348
e 12, 12, 24, 72
e 472, 436, 401, 367
e 676, 655, 634, 613
e 614, 584, 555, 527
e 638, 610, 582, 554
e 23, 115, 575, 2875
e 6, 20, 63, 193
e 1034, 984, 935, 887
e 69, 115, 162, 210
e 16, 53, 164, 497
e 16, 59, 231, 919
e 9, 54, 324, 1944
e 37584, 6264, 1044, 174
e 225, 256, 289, 324
e 1082, 989, 896, 803
e 354, 423, 493, 564
e 2268, 756, 252, 84
e 478, 402, 326, 250
e 14, 31, 65, 133
e 168, 257, 347, 438
e 502, 481, 460, 439
e 683, 660, 637, 614
e 1126, 1071, 1016, 961
e 304, 361, 419, 478
e 28812, 4116, 588, 84
e 14, 20, 26, 32
e 769, 867, 966, 1066
e 24, 49, 85, 134
e 983, 1030, 1078, 1127
e 2, 14, 98, 686
e 21, 28, 35, 42
e 13, 49, 193, 769
e 102400, 12800, 1600, 200
e 26, 78, 234, 702
e 636, 664, 693, 723
e 13, 104, 936, 9360
e 49, 59, 69, 79
e 13, 20, 33, 58
e 11, 40, 127, 388
e 258, 289, 321, 354
e 9, 37, 149, 597
e 5, 30, 180, 1080
e 1071, 980, 889, 798
e 825, 735, 646, 558
e 1141, 1048, 955, 862
e 1011, 987, 963, 939
e 449, 481, 514, 548
e 223, 182, 142, 103
e 14, 19, 28, 45
e 673, 585, 498, 412
e 27, 64, 125, 216
e 13, 20, 34, 62
e 18125, 3625, 725, 145
e 24, 29, 34, 39
e 15, 105, 735, 5145
e 27, 29, 31, 33
e 843, 866, 890, 915
e 289, 324, 361, 400
e 882, 812, 742, 672
e 15, 25, 44, 81
e 11, 22, 44, 88
e 23, 31, 39, 47
e 19, 95, 475, 2375
e 8192, 1024, 128, 16
e 708, 624, 540, 456
e 35, 39, 43, 47
e 1202, 1116, 1031, 947
e 970, 1069, 1169, 1270
e 620, 701, 783, 866
e 9, 5, 1, -3
e 573, 493, 414, 336
e 849, 776, 704, 633
e 29808, 4968, 828, 138
e 1294, 1215, 1137, 1060
e 23, 161, 1127, 7889
e 9072, 1512, 252, 42
e 3072, 768, 192, 48
e 1011, 917, 824, 732
e 448, 511, 575, 640
e 389, 455, 522, 590
e 810, 777, 745, 714
e 17, 87, 438, 2194
e 840, 168, 42, 14
e 13440, 1680, 240, 40
e 4, 27, 143, 724
e 7, 29, 95, 293
e 125, 216, 343, 512
e 24, 31, 38, 45
e 11, 51, 211, 851
e 106496, 13312, 1664, 208
e 20, 38, 74, 146
e 19, 28, 37, 46
e 761, 852, 944, 1037
e 406, 432, 459, 487
e 88, 136, 185, 235
e 441, 476, 512, 549
